,passing
0,G000006865
1,G000006925
2,G000007525
3,G000007785
4,G000008865
5,G000009865
6,G000009925
7,G000010185
8,G000010425
9,G000011065
10,G000012005
11,G000012825
12,G000012845
13,G000016525
14,G000017585
15,G000020225
16,G000020605
17,G000022905
18,G000022965
19,G000024265
20,G000025205
21,G000026325
22,G000026345
23,G000091765
24,G000144625
25,G000146185
26,G000146345
27,G000146675
28,G000153885
29,G000153905
30,G000153925
31,G000154065
32,G000154205
33,G000154245
34,G000154285
35,G000154345
36,G000154425
37,G000154445
38,G000154465
39,G000154485
40,G000154505
41,G000154525
42,G000154565
43,G000154805
44,G000154845
45,G000155205
46,G000155435
47,G000155855
48,G000155875
49,G000156015
50,G000156035
51,G000156535
52,G000156655
53,G000156675
54,G000157915
55,G000157935
56,G000157955
57,G000157975
58,G000157995
59,G000158075
60,G000158495
61,G000158655
62,G000159055
63,G000159075
64,G000159095
65,G000159155
66,G000160055
67,G000160095
68,G000160535
69,G000160875
70,G000162015
71,G000163515
72,G000164675
73,G000165905
74,G000169035
75,G000169235
76,G000169255
77,G000173655
78,G000173795
79,G000173815
80,G000173975
81,G000174195
82,G000174395
83,G000177015
84,G000177075
85,G000183345
86,G000183565
87,G000183585
88,G000185845
89,G000187895
90,G000188175
91,G000189595
92,G000190095
93,G000190135
94,G000190155
95,G000190535
96,G000190575
97,G000191725
98,G000195275
99,G000195635
100,G000205025
101,G000205165
102,G000210055
103,G000210095
104,G000210575
105,G000210615
106,G000212375
107,G000225345
108,G000230275
109,G000231275
110,G000233455
111,G000235505
112,G000235885
113,G000236865
114,G000240185
115,G000242195
116,G000242435
117,G000242955
118,G000243215
119,G000245775
120,G000253395
121,G000262545
122,G000265365
123,G000269565
124,G000270305
125,G000285455
126,G000286635
127,G000296385
128,G000296465
129,G000297775
130,G000299455
131,G000307375
132,G000308275
133,G000311745
134,G000311825
135,G000311865
136,G000311925
137,G000312145
138,G000312505
139,G000313565
140,G000315485
141,G000321025
142,G000321205
143,G000327285
144,G000332875
