"","taxon","(Intercept)","diseaseMS","sexM","age","bmi"
"1","Megasphaera sp. UPII 135-E",0.0282740034671406,0.0282119224728684,0.114665250232959,0.0575718404359724,0.0237318519002864
"2","Anaerocolumna xylanovorans",0.247526076420857,0.165085723220889,0.645592242456653,0.274911298117809,0.362237708929854
"3","Bacillus sp. 916",0.311380586258233,0.116774750302737,0.301264317658371,0.350773565696919,0.0772751630750918
"4","Catenibacterium mitsuokai",0.151820933069519,0,0.0103968143704654,0.0242874874884399,0.216143753413299
"5","Verrucomicrobia bacterium SCGC AAA164-L15",0.107469012371868,0.694610003897188,0.757368799067752,0,0.234305951580043
"6","Verrucomicrobia bacterium SCGC AAA164-O14",0.0987919577324138,0.605209203571575,0.709540631519739,0,0.275150203368455
"7","Verrucomicrobia bacterium SCGC AAA168-E21",0.0844364436123716,0.502482514057502,0,0,0.26638668886209
"8","Capnocytophaga gingivalis",0.155478673675313,0.0727911360579161,0.299507340237153,0.0732871527582908,0.366095598729491
"9","Solobacterium moorei",0.0274441739433094,0.115401241665509,0.0255709996301126,0.0245599898055946,0.0403974398261949
"10","Flectobacillus major",0.303062202778552,0.0628458150301532,0,0,0.213439866580949
"11","Prevotella sp. MSX73",0.295616371090998,0.0596216348703055,0.360099858907023,0.139690173693757,0.269065560546788
"12","Dielma fastidiosa",0.202870672147998,0.0749272326638355,0.145143693469056,0.225280263000784,0.0253379576928658
"13","Actinomyces coleocanis",0.333669933545151,0.102052093101794,0.429914940712199,0.834510161940766,0.468594545855653
"14","Actinomyces urogenitalis",0.225796699967648,0.16486762398479,0.200593202892532,0.158224271499752,0.263305603241149
"15","Riemerella columbina",0.0292874688761165,0.0174369772591337,0.0509075337211009,0.0546345475291775,0.0577938634904435
"16","Clostridium sp. SY8519",0.0362367478150401,0,0.0278797622856134,0.0314575925435481,0.0221749413518674
"17","Serratia sp. ATCC 39006",0.233346244710029,0.183144069354391,0.381014743380647,0.216289418634228,0.436769900458103
"18","Corynebacterium epidermidicanis",0.267881309393845,0.369541137869957,0.579685151581195,0.621116263018857,0.0937957871318309
"19","Ralstonia mannitolilytica",0.040025102043623,0.243742679049725,0.175228339522362,0.0420706596883058,0.101494103424072
"20","Lactobacillus algidus",0.0307293856483129,0.108762979392869,0.298934625502082,0.0625313750968802,0.16915360568992
"21","Morococcus cerebrosus",0.272905946234579,0.182195860108659,0.405359146257185,0.123540686993896,0.156600488327883
"22","Anaerostipes caccae",0.0409851403662638,0.0432159763963534,0.104133926006921,0.0270213156886407,0.00964767734883804
"23","Rhodobacter capsulatus",0.230980473999532,0.071018485394144,0.234916512418993,0.786075659292916,0.374498738837021
"24","Pseudoflavonifractor capillosus",0.0518887313851243,0.0236807500417969,0.0582618008481492,0,0.133310790844638
"25","Acinetobacter bereziniae",0.0974995231957967,0.0737910831668705,0.519331126007782,0,0.171491932573464
"26","Candidatus Burkholderia crenata",0.0634366231623755,0.0514507673264888,0,0.280934519291013,0.14076140305368
"27","Rhodopseudomonas palustris",0.282838710944014,0.103609825382468,0.320477441308203,0.368180333673327,0.219935279022087
"28","Pantoea rwandensis",0.164529211226479,0.107040845219517,0.405127625452283,0.294603811234083,0.430352203374551
"29","Coprococcus sp. HPP0048",0,0.0197460814978213,0.0593374917669596,0.0358108220030486,0
"30","Haemophilus sputorum",0.418328238348799,0.165644690545615,0.0727646540346016,0.285640588122052,0.10784727457396
"31","Corynebacterium falsenii",0.0858514494262211,0.240725939914001,0.752112248592046,0.444140926358138,0.0484671610702598
"32","Acinetobacter ursingii",0,0.215433493685124,0.160858842775078,0,0.23920354595827
"33","Acinetobacter schindleri",0.132891913872274,0.300009414223087,0.380901738806356,0.19857875917227,0.144144558699093
