"","taxon","lfc_(Intercept)","lfc_age","lfc_sexM","lfc_bmi","se_(Intercept)","se_age","se_sexM","se_bmi","W_(Intercept)","W_age","W_sexM","W_bmi","p_(Intercept)","p_age","p_sexM","p_bmi","q_(Intercept)","q_age","q_sexM","q_bmi","diff_(Intercept)","diff_age","diff_sexM","diff_bmi"
"1","Megasphaera sp. UPII 135-E",0,0,0,0,0.459174428098572,0.459174428098572,0.459174428098572,0.459174428098572,0,0,0,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
"2","Anaerocolumna xylanovorans",0,0,0,0,0.459174428098572,0.459174428098572,0.459174428098572,0.459174428098572,0,0,0,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
"3","Bacillus sp. 916",0,0,0,0,0.459174428098572,0.459174428098572,0.459174428098572,0.459174428098572,0,0,0,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
"4","Catenibacterium mitsuokai",0,0,0,0,0.459174428098572,0.459174428098572,0.459174428098572,0.459174428098572,0,0,0,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
"5","Verrucomicrobia bacterium SCGC AAA164-L15",0,0,0,0,0.459174428098572,0.459174428098572,0.459174428098572,0.459174428098572,0,0,0,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
"6","Verrucomicrobia bacterium SCGC AAA164-O14",0,0,0,0,0.459174428098572,0.459174428098572,0.459174428098572,0.459174428098572,0,0,0,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
"7","Verrucomicrobia bacterium SCGC AAA168-E21",0,0,0,0,0.459174428098572,0.459174428098572,0.459174428098572,0.459174428098572,0,0,0,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
"8","Capnocytophaga gingivalis",0,0,0,0,0.459174428098572,0.459174428098572,0.459174428098572,0.459174428098572,0,0,0,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
"9","Solobacterium moorei",0,0,0,0,0.459174428098572,0.459174428098572,0.459174428098572,0.459174428098572,0,0,0,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
"10","Flectobacillus major",0,0,0,0,0.459174428098572,0.459174428098572,0.459174428098572,0.459174428098572,0,0,0,0,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE
