Feature	Intercept_mean	C(disease, Treatment('Control'))[T.MS]_mean	site[T.Buenos Aires]_mean	site[T.Edinburgh]_mean	site[T.New York]_mean	site[T.Pittsburgh]_mean	site[T.San Francisco]_mean	site[T.San Sebastian]_mean	age_mean	bmi_mean	Intercept_std	C(disease, Treatment('Control'))[T.MS]_std	site[T.Buenos Aires]_std	site[T.Edinburgh]_std	site[T.New York]_std	site[T.Pittsburgh]_std	site[T.San Francisco]_std	site[T.San Sebastian]_std	age_std	bmi_std
G000233715	-11.89968327999998	-3.4193427798	-0.37876854204500054	-1.60069048741	-1.4120270074200023	-2.644452652845003	-0.5010419217000002	-3.8556196844850015	-0.1122828404165001	-0.09830787827220495	1.8196910835320754	1.2727188351818335	1.6840801948306214	1.8814150105506318	2.245890102879176	4.012424494251866	1.8007136225445999	3.3468163830503244	0.04487880785141303	0.08134010556813177
G000308755	-10.419494125000028	-1.3712461814075003	1.5504107846699993	0.3899037127669999	-3.7647222335929977	-1.6678865939064977	-3.7392026163900014	-2.6312809717250385	-0.12940716662859972	-0.27151171511650013	1.8925074822895256	1.4223193704959647	2.2149297855919405	2.490137512925388	3.6503238787353935	4.094947905633158	3.317527597357281	3.887872997488886	0.0752745909788566	0.15011698271568408
G001481675	-10.537801149999984	-0.10020719446200009	-0.8205876051990004	1.1330047874000004	-5.106069367301241	-2.791853371424996	-1.6160009219350013	-4.055994305185	-0.10432805319000006	-0.20844038232599987	1.7608075578728575	0.8822972097762914	1.5433036312971475	1.6148865587219208	3.0315759750777977	3.6282227837835057	1.789290907626007	3.2875149116667246	0.04302369320416683	0.0887268448562074
G001648575	-10.639845789999981	-3.1491953797499996	-4.928041693218998	-4.527416958600002	3.220730805259997	-1.9887174600499997	0.2143767636380003	-3.006253804534003	-0.023820696897500073	-0.40555417500000013	1.837818329236644	1.5015590063701647	3.2971864607028682	3.340133403208633	2.282778835529542	4.119418414459172	2.2990333005264993	3.6988746970597255	0.05881030649691328	0.13435132651320486
G900116345	-11.105964055000017	-3.1020721752500027	0.4037599389950001	-2.4595414955700012	-7.125665992999985	0.7627921055700017	-1.1522591053124998	3.275373534699998	-0.08552133447135003	0.02594036486380002	1.8177886650995796	1.0554278406396487	1.664081686382971	1.9268243881294942	3.089903109074063	3.0416614455239177	1.8146157495702988	2.0320842730612814	0.043258803690222246	0.06804935913159027
G000286315	-9.538096564999984	-1.0939001438570002	-3.880887953169994	-3.1267561579199974	6.089031345900013	-1.167230032855002	-3.0278792048850005	-1.8222818664300011	-0.12300244628449988	-0.4134441154199995	1.8956512601274942	1.8506125919132697	3.4754085089311277	3.7520831347833106	2.678595766328131	4.296834906148154	3.764046414962315	3.9685338670168164	0.07899396717274075	0.16565138583791
G900107835	-11.944132539999995	0.4121420023271004	-0.8266903668099992	-0.6772774155490002	-5.721262277649991	1.7857327448199973	-0.41725777935449976	-0.6751907268784987	-0.10674614189500002	-0.13011872543600012	1.70078377096921	0.8213169032151211	1.4789765886788362	1.6438047664737907	3.125022628034077	2.521591475328054	1.6239713706664496	2.1357880546991095	0.0370023226011628	0.07707953085779069
G000259095	-10.97504644500001	-0.8087392657149998	-1.9562677473650034	-1.200471019909999	2.824793219945003	1.314703331939999	-2.5950742821580026	-0.6979365910399994	-0.07229763612800007	-0.21865660518500005	1.8024252604346191	0.7624851607743243	1.5587756357514557	1.6286570702198182	1.5409847293961105	2.4343021951058414	1.8808233918965624	2.0691569473493314	0.038479831331389505	0.08265594599529746
G000527135	-9.686452945000017	0.5921740548715005	1.234954409014996	2.0878276864749994	-3.771947736275003	-1.6925271837880025	-4.047438392024997	1.4257488274149999	-0.15606717188999972	-0.27625058152000015	1.8650273403297817	1.3527265411952702	2.165111555974298	2.2481246741978183	3.451957197327601	4.034327485100487	3.5563405929615852	2.703489973544833	0.06927896048228734	0.1309876096916468
G000368905	-12.279171699999992	0.47813106157599977	-1.0894494058369975	1.7458753639299984	1.573003547714999	1.4221678179250032	1.633848444009998	-0.771613879665	-0.05769688640300009	-0.11815114323000034	1.5181061412314398	0.5403253756557387	1.2347670561315398	1.2554378664021848	1.368389806593882	2.080752723580232	1.2040188600974422	1.6032839352284447	0.024677570746847583	0.04816479917911465
G000407605	-14.18823699	-1.2385814213150017	-0.8351046649244752	-5.178104888499994	2.713771591684995	1.4987104915899998	-1.2080490721099992	-1.483330430399499	-0.02839524263829997	-0.056582673043114956	1.5729794229171408	0.5468994519617668	1.0754089574143157	1.6241884856118107	1.1169420325518005	1.7702631238977196	1.111411271903523	1.5998227827045501	0.024439332573317468	0.047459278396301825
G000427825	-8.99545803499998	1.193960345805497	-1.5473941632649983	-1.138763341964999	-5.732516122600003	-2.9683944087545036	-6.42688023645999	-1.4103126809849986	-0.03190396275834999	-0.41924807529999975	1.8833630974917417	1.237048496961351	1.696821102874257	1.7114153508184833	3.280000343567251	3.895657013078137	2.861051581249521	2.280414107697262	0.05392436881693464	0.1307496008985399
G000422245	-13.127435394999981	0.013546728348149968	-0.07946827388999977	-0.7574939001649988	-0.08025822647899991	0.3482688541245004	-1.3967753155300007	-1.4598350140800012	0.018003772719474977	-0.18505300388500018	1.583940109364443	0.5771256679337321	1.1493968603000841	1.222605300210342	1.3621835882597455	2.1396651292550675	1.2727635663800905	1.628212737283918	0.026490975705517023	0.05719690634390374
G001896565	-9.99343185999999	-0.8582209603239996	0.0031234469930000114	-0.6598284342750003	0.5573068213799999	2.2992611157190987	-1.1989098331969987	-0.2190165501525002	0.00014875850140000108	-0.32814759184999975	1.7217063794564789	0.7233233553241868	1.374459801613293	1.4349100279870082	1.5827372243723128	2.595631986072212	1.4958795056765093	1.8688301492138053	0.03329300326992802	0.08001340778600192
G001858115	-12.889834005000028	0.7719181191276504	-0.5252530251175002	0.5986818095320008	-5.2968335670000055	-4.886285785609995	-0.6440763992655002	-0.43017271798500106	-0.04806792009300009	-0.08444135261249984	1.5523664390395746	0.4883786977840933	1.0435211325400915	1.0495608983074483	1.8748801973778437	3.301670054939318	1.0680580058293159	1.40679302868241	0.023432642702019765	0.045810720857871814
G001602685	-12.919739739999986	-0.9518184775199994	1.312234203644499	-1.2788661718955523	-3.0972488459800034	-3.529361548225	1.5256250615254987	0.4640271682849986	-0.07114085288699999	-0.12564793662750032	1.5747843701395856	0.5161295564904068	1.2042458991179135	1.3803211093709915	1.8774623420269958	3.2817200079983233	1.2413572669440953	1.5556708365325855	0.025855413548606893	0.054141763398562213
G000213975	-14.866361900000042	0.08239296296499998	0.02096428449299999	-0.32538228598249985	-0.2990163957999998	0.7932002999099986	-1.906248940089999	-0.5868589994929999	-0.04862383683300004	-0.02159393141954998	1.4228380622855141	0.38711850500010386	0.9199427590248492	0.9483766788305599	1.12046182294655	1.6408877506985562	1.0411908420240725	1.2772090298520222	0.020706145177752017	0.04062704905547259
G000176795	-11.219153645000025	-0.05267882122000007	-5.450187056660005	-4.907503774761852	2.2884295027650023	-2.117871973225001	1.5701654077870015	-3.498599264235004	-0.01480529214830001	-0.38859099550499987	1.9657112163859072	1.3070263826732698	3.0983235113489807	3.2145721274788888	2.3550073197946784	4.06819634652884	2.153842827311448	3.591962129318832	0.05841480838858592	0.1295405631589088
G000160875	-9.221281724999997	1.685251497500003	0.8811575301099999	1.4777612836350005	-2.7525901168499973	1.195136562397	1.5749124278249984	0.48759358789149954	-0.10698070529999984	-0.011271701221950009	1.2204836156141448	0.32260381786334474	0.7997413185100681	0.8141942027620217	1.0036281726740457	1.570012740993469	0.7940335605519466	1.0641414195765175	0.016490311999130335	0.03211468075421119
G000380985	-14.498206699999967	0.03059120721	0.2619984612160001	-0.07498346719365005	-0.24717836441249993	0.23259387730300016	-0.29200835063499947	-0.38634084963949994	-0.013228947488100006	-0.05270652019775003	1.0999678307410232	0.23713306979268534	0.7653198568332639	0.7725733594826184	0.8803062252129289	1.3459045850320965	0.7704968730165114	0.9777273984289082	0.014463840659739729	0.028771118820852124
G000324625	-13.507561900000004	0.31501643564650034	0.6789721588311513	0.2573925752650002	3.303498757999996	3.147832363050006	-0.2143228156930003	0.1924666799364998	-0.0009088217092550012	-0.047741445572499874	1.1016553872234243	0.24530212328638848	0.6948723588032576	0.7243644715905215	0.8115513264820822	1.2862508307217562	0.7281117604572516	0.9290458810637171	0.013587136943731384	0.026351876670664923
G000619785	-14.216941949999999	-0.2956134956891499	-0.2636491218929992	-2.564521746000001	0.14319711579700004	1.7866919077350008	-0.8776718065550001	0.41625456273200057	-0.026470860042999967	0.0007412348335050008	1.0228061461123494	0.20084745787037916	0.6483376693768392	0.7104441357964043	0.7558583418247165	1.1025581822343866	0.6827537069857651	0.8354053292866572	0.013338223042962748	0.024500425984672853
G000432275	-11.128943190000014	-0.32456495981999933	1.39687933848	0.945473831994999	-0.5815688595360005	-2.2149932226445017	0.3571566449310003	0.7088373221630003	0.018113251477850013	-0.08862267153999996	1.1674979784186879	0.27133655981534166	0.8037658491638632	0.781822677481683	0.9356812362347694	1.501621229481627	0.793752185670476	0.9715021721530991	0.015047754407338835	0.03211888150912255
G000687735	-14.92922075	-0.11612868032750016	1.2450921123299983	-1.7419102631199996	-0.03755071066249986	0.3728122920935002	-0.13274124839450008	0.1413980286349998	-0.002883669410615002	-0.01958267817190003	0.9876104678993826	0.15795378652166878	0.6559229984206544	0.6921260745297155	0.7338613881356659	1.1543119182537627	0.6597527236150452	0.8313349621372799	0.012640128920107713	0.021509620678645997
G000711965	-15.05387275000001	-0.012181734187999966	0.6825121886700001	-0.3601397033460003	0.7875270282144995	0.5650278257458495	-1.0729210491625	1.2235100373000007	0.019090172375900015	0.012751700995350015	0.9603623423335788	0.16862320659581023	0.6309219850857328	0.6316207072832022	0.6813372768470536	1.1614445425627955	0.6358100549323658	0.7555459465158828	0.011397532121040475	0.020276466082093294
G000800295	-11.91775701999999	0.05512744919900004	0.3209556021995002	-0.08177330961899998	-1.1836100082249983	0.05064811904900009	-0.24019061479450002	-0.06562886578800006	0.00044239841784999954	-0.041330071380999964	0.8528899583390694	0.1417941477262521	0.5717868068202873	0.5932915203678568	0.6789186579806625	1.0744628593996153	0.5588723764164287	0.7665976359899648	0.010543013601338351	0.01847343825092469
G001552785	-11.610310960000007	0.31948617590100026	1.0323384037550005	1.148754288925001	-0.8745900827115002	0.05075377649549992	0.5918307096994992	-0.011692312717000016	-0.009729062565400017	-0.04618567274649999	0.8387504570401003	0.1345925775957986	0.570037550271481	0.5653739102172164	0.6638931701292775	1.081230463230681	0.5551293767756323	0.7696841406266036	0.010408522047040226	0.017134030475005904
G001704385	-12.72092830000002	0.11796652187600011	0.20041969002750018	0.15212125290750017	-0.6406755096494993	-0.006763357990000014	-0.014458387623000054	0.25452799866630005	0.0015558569790900013	-0.006975685410499987	0.6040442206156014	0.05793849327883153	0.5051249308858535	0.5481685199183048	0.6111042412575466	0.9763997340426493	0.5083072676115105	0.6791098877717354	0.00639483012894163	0.009010352683736516
G001940845	-11.564539494999986	0.2252784935539999	0.9344266713164994	1.0627728951750002	0.15259994142149996	-0.021704948369500054	0.4599343762530001	1.387991752150001	0.014921399620230015	-0.029506198430499973	0.7200875581013014	0.09340414133452156	0.5588761950259991	0.5442706536898494	0.6492339661890961	0.9984234248789242	0.5219023931033391	0.6681977087823273	0.008666088686872082	0.01312684984943806
